episode,actions
1,0
2,0
3,0
4,0
5,1 2
6,1 0
7,1 0
8,0
9,1 1 2
10,0
11,1 0
12,1 1 2
13,2
14,1 0
15,2
16,2
17,0
18,1 0
19,2
20,1 0
21,2
22,2
23,0
24,0
25,2
26,2
27,2
28,0
29,1 2
30,2
31,2
32,1 0
33,2
34,0
35,2
36,0
37,2
38,0
39,0
40,2
41,1 0
42,0
43,2
44,0
45,0
46,2
47,1 2
48,0
49,1 2
50,0
51,2
52,2
53,0
54,2
55,2
56,2
57,1 2
58,2
59,2
60,0
61,2
62,2
63,1 2
64,2
65,2
66,2
67,2
68,2
69,0
70,0
71,2
72,0
73,2
74,1 2
75,2
76,2
77,2
78,0
79,2
80,1 2
81,2
82,1 2
83,0
84,2
85,0
86,2
87,2
88,2
89,1 2
90,0
91,2
92,2
93,1 0
94,2
95,2
96,2
97,0
98,2
99,2
100,0
101,0
102,0
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,0
111,2
112,0
113,2
114,2
115,2
116,0
117,2
118,0
119,2
120,0
121,2
122,2
123,2
124,2
125,2
126,2
127,0
128,0
129,2
130,2
131,2
132,2
133,2
134,2
135,0
136,0
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,0
147,2
148,2
149,0
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,0
160,2
161,2
162,2
163,2
164,0
165,2
166,2
167,2
168,2
169,2
170,2
171,0
172,2
173,2
174,2
175,2
176,0
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,1 2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,0
199,2
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,0
214,2
215,2
216,0
217,2
218,2
219,2
220,1 2
221,2
222,2
223,0
224,0
225,2
226,2
227,0
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,1 2
237,2
238,2
239,2
240,0
241,2
242,2
243,2
244,2
245,0
246,0
247,2
248,1 2
249,2
250,2
251,2
252,2
253,2
254,2
255,2
256,0
257,2
258,2
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,2
268,2
269,0
270,2
271,2
272,2
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,2
281,2
282,2
283,2
284,2
285,2
286,2
287,2
288,2
289,2
290,2
291,2
292,2
293,2
294,2
295,1 2
296,2
297,2
298,2
299,2
300,2
301,2
302,2
303,2
304,2
305,2
306,2
307,2
308,2
309,2
310,2
311,2
312,2
313,2
314,2
315,2
316,2
317,2
318,2
319,2
320,2
321,2
322,2
323,2
324,2
325,2
326,2
327,2
328,2
329,2
330,2
331,2
332,2
333,2
334,2
335,2
336,1 2
337,2
338,2
339,2
340,2
341,2
342,1 2
343,2
344,2
345,2
346,2
347,2
348,2
349,2
350,2
351,0
352,2
353,2
354,2
355,2
356,2
357,2
358,2
359,2
360,0
361,2
362,2
363,2
364,0
365,2
366,0
367,2
368,2
369,2
370,2
371,2
372,0
373,2
374,1 2
375,2
376,2
377,2
378,0
379,2
380,2
381,2
382,2
383,2
384,2
385,2
386,1 2
387,2
388,2
389,2
390,2
391,2
392,2
393,2
394,2
395,2
396,2
397,2
398,2
399,2
400,2
401,2
402,0
403,2
404,2
405,2
406,2
407,0
408,2
409,2
410,2
411,2
412,2
413,2
414,2
415,2
416,2
417,0
418,2
419,2
420,0
421,2
422,2
423,2
424,2
425,2
426,2
427,2
428,2
429,2
430,0
431,2
432,2
433,2
434,0
435,2
436,2
437,0
438,2
439,2
440,2
441,0
442,2
443,2
444,0
445,2
446,1 0
447,0
448,0
449,2
450,2
451,2
452,2
453,2
454,2
455,2
456,2
457,0
458,0
459,0
460,2
461,2
462,0
463,0
464,0
465,0
466,2
467,2
468,0
469,2
470,2
471,2
472,2
473,2
474,0
475,0
476,2
477,2
478,0
479,2
480,2
481,2
482,2
483,2
484,0
485,2
486,2
487,0
488,2
489,2
490,1 2
491,2
492,2
493,2
494,2
495,2
496,2
497,2
498,2
499,2
500,2
